reaction,name,schemaClass,module
R-HSA-202291,Activation of Lck,Reaction,Immune System
R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202233,Inactivation of Lck by Csk,Reaction,Immune System
R-HSA-203774,Interaction of Csk with PAG,Reaction,Immune System
R-HSA-202212,Recruitment of PLC-gamma1 to LAT,Reaction,Immune System
R-HSA-202331,Recruitment of PLC-gamma1 to SLP-76,Reaction,Immune System
R-HSA-213407,Disassociation of PLC-gamma1 from SLP-76,Reaction,Immune System
R-HSA-213406,Disassociation of PLC-gamma1 from LAT,Reaction,Immune System
R-HSA-202203,Recruitment of PI3K to plasma membrane,Reaction,Immune System
R-HSA-388830,PI3K binds ICOS,Reaction,Immune System
R-HSA-444647,C3a receptor binds anaphylatoxin C3a,Reaction,Immune System
R-HSA-166817,Cleavage of C3 by C3 convertases,Reaction,Immune System
R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-173754,Properdin stabilizes C3b:Bb bound to cell surfaces,Reaction,Immune System
R-HSA-183122,Factor D cleaves C3b-bound Factor B,Reaction,Immune System
R-HSA-183126,Factor B binds to surface-associated C3b,Reaction,Immune System
R-HSA-981539,C3b binds to cell surface,Reaction,Immune System
R-HSA-183130,C3(H2O):Factor Bb cleaves C3 to C3b and C3a,Reaction,Immune System
R-HSA-173745,Factor D cleaves C3(H2O)-bound Factor B,Reaction,Immune System
R-HSA-173740,Factor B binds to C3(H2O),Reaction,Immune System
R-HSA-173739,Spontaneous hydrolysis of C3 thioester,Reaction,Immune System
R-HSA-166795,Formation of Classical C3 convertase (C4b:C2a complex),Reaction,Immune System
R-HSA-166792,Conversion of C2 into C2a and C2b,Reaction,Immune System
R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-173631,Activation of C1s,Reaction,Immune System
R-HSA-173626,Activation of C1r,Reaction,Immune System
R-HSA-375395,C5a receptor binds C5a anaphylatoxin,Reaction,Immune System
R-HSA-173680,Activation of C5,Reaction,Immune System
R-HSA-173636,Formation of classic pathway C5 convertase,Reaction,Immune System
R-HSA-1112666,"BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate",Reaction,Immune System
R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-983700,SYK binds the activated BCR,Reaction,Immune System
R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-983696,The Immunoglobulin of the BCR binds antigen,Reaction,Immune System
R-HSA-2089943,TRPC1 translocates calcium from the extracellular region to the cytosol,Reaction,Immune System
R-HSA-2089927,STIM1 binds TRPC1 forming STIM1:TRPC1 complex,Reaction,Immune System
R-HSA-2396599,Recruitment of GRB2:SOS to p-5Y-LAT,Reaction,Immune System
R-HSA-2730844,Interaction of GRB2:SOS complex with p-SHC1,Reaction,Immune System
R-HSA-2730886,Phosphorylation of SHC by SYK kinase,Reaction,Immune System
R-HSA-2395801,Phosphorylation of LAT by p-SYK,Reaction,Immune System
R-HSA-2395412,Phosphorylation of SYK,Reaction,Immune System
R-HSA-210289,Recruitment of SYK to p-DAP12,Reaction,Immune System
R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
R-HSA-210295,Interaction of DAP12 and NKG2D,Reaction,Immune System
R-HSA-2130151,Dimerization of DAP12,Reaction,Immune System
R-HSA-2172126,DAP12 interacts with NKG2C,Reaction,Immune System
R-HSA-210300,Interaction of DAP12 and TREM2,Reaction,Immune System
R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
R-HSA-453111,Phosphorylated SHC recruits GRB2:SOS1,Reaction,Immune System
R-HSA-452100,SHC1 bound to IL2 receptor is phosphorylated,Reaction,Immune System
R-HSA-452091,Phosphorylation of IL2RB Y338 enables SHC recruitment,Reaction,Immune System
R-HSA-452122,"JAK1 phosphorylates Y338, Y392 and Y510 of IL2RB",Reaction,Immune System
R-HSA-451942,Within the IL-2R complex JAK3 phosphorylates JAK1,Reaction,Immune System
R-HSA-450063,Interleukin-2: IL2 receptor alpha:beta binds IL2 receptor gamma subunit,Reaction,Immune System
R-HSA-451895,IL2RG binds JAK3,Reaction,Immune System
R-HSA-450027,Interleukin-2 receptor alpha:IL2 binds Interleukin-2 receptor beta,Reaction,Immune System
R-HSA-450054,Interleukin-2 receptor alpha binds interleukin-2,Reaction,Immune System
R-HSA-451900,IL2RB binds JAK1,Reaction,Immune System
R-HSA-879925,SHC1 bound to the common beta chain becomes tyrosine phosphorylated,Reaction,Immune System
R-HSA-879934,Recruitment of SHC1 is mediated by Y593 of the common beta chain,Reaction,Immune System
R-HSA-879907,Tyrosine kinases phosphorylate the receptor,Reaction,Immune System
R-HSA-913371,GM-CSF receptor alpha:GM-CSF binds Bc,Reaction,Immune System
R-HSA-879937,The common beta chain IL3RB binds JAK2,Reaction,Immune System
R-HSA-913360,GM-CSF receptor alpha subunit binds GM-CSF,Reaction,Immune System
R-HSA-913370,Interleukin-5:Interleukin-5 receptor alpha binds IL3RB:JAK2,Reaction,Immune System
R-HSA-913456,Interleukin-5 receptor alpha subunit binds Interleukin-5,Reaction,Immune System
R-HSA-913446,Interleukin-5 is a homodimer,Reaction,Immune System
R-HSA-450031,Interleukin-3 receptor alpha: Interleukin-3 binds IL3RB:JAK2,Reaction,Immune System
R-HSA-450074,Interleukin-3 receptor alpha subunit binds Interleukin-3,Reaction,Immune System
R-HSA-879942,The receptor is activated,BlackBoxEvent,Immune System
R-HSA-9607304,SOS1-mediated nucleotide exchange of RAS downstream of FLT3,Reaction,Immune System
R-HSA-9607301,Active FLT3:GRB2 binds SOS1,Reaction,Immune System
R-HSA-9604738,Active FLT3 dimer binds GRB2,Reaction,Immune System
R-HSA-9604767,FLT3LG dimer:FLT3 dimer autophosphorylates,BlackBoxEvent,Immune System
R-HSA-8854736,FLT3LG dimer:FLT3 binds FLT3,Reaction,Immune System
R-HSA-6786789,FLT3LG dimer binds FLT3,Reaction,Immune System
R-HSA-451649,"TPL2 phosphorylates MEK1, SEK1",Reaction,Immune System
R-HSA-5684273,"3xUb,p-S-NFkB p105:TPL2:ABIN2 dissociates due to degradation of p105",BlackBoxEvent,Immune System
R-HSA-5684250,"SCF betaTrCP ubiquitinates NFKB p105 within p-S927, S932-NFkB p105:TPL2:ABIN2 ",Reaction,Immune System
R-HSA-5684248,"SCF betaTrCP1,2 binds p-NFkB p105:TPL2:ABIN2",Reaction,Immune System
R-HSA-5684261,MAP3K8 is phosphorylated,Reaction,Immune System
R-HSA-168184,Activated TAK1 mediates phosphorylation of the IKK Complex,Reaction,Immune System
R-HSA-936991,Auto phosphorylation of TAK1 bound to p-IRAK2:pUb oligo-TRAF6: free K63 pUb:TAB1:TAB2/TAB3 ,Reaction,Immune System
R-HSA-936960,Activated TRAF6:p-IRAK2 interacts with TAK1 complex,Reaction,Immune System
R-HSA-936942,Auto ubiquitination of oligo-TRAF6 bound to p-IRAK2,BlackBoxEvent,Immune System
R-HSA-936963,IRAK2 induces TRAF6 oligomerization,Reaction,Immune System
R-HSA-166362,Dissociation of hp-IRAK1:TRAF6 from the activated TLR:oligo-Myd88:TIRAP:p-IRAK4 complex,Reaction,Immune System
R-HSA-166363,TRAF6 binds to hp- IRAK1,Reaction,Immune System
R-HSA-166286,Multiple IRAK1 autophosphorylation steps,Reaction,Immune System
R-HSA-166284,Second phosphorylation of IRAK1 by IRAK4 bound to activated TLR:MyD88:TIRAP,Reaction,Immune System
R-HSA-166119,First phosphorylation of IRAK1 by IRAK4 bound to activated TLR:MyD88:Mal,Reaction,Immune System
R-HSA-166091,IRAK1 or IRAK2 binds to the activated IRAK4 :activated TLR:MyD88:TIRAP complex,Reaction,Immune System
R-HSA-937022,IRAK4 autophosphorylation in the complex with activated TLR:MyD88:TIRAP,Reaction,Immune System
R-HSA-166082,IRAK4 binds to the activated TLR receptor:TIRAP:MyD88 complex,Reaction,Immune System
R-HSA-937079,MyD88 oligomerization within the complex of activated TLR:TIRAP:MyD88,Reaction,Immune System
R-HSA-166072,MyD88 forms a complex with TIRAP:activated TLR2/4,Reaction,Immune System
R-HSA-2201322,TIRAP is phosphorylated by BTK,Reaction,Immune System
R-HSA-2559414,Activated TLR2/4:TIRAP interacts with BTK,Reaction,Immune System
R-HSA-2201316,Activated TLR2/4 interacts with MAL (TIRAP),Reaction,Immune System
R-HSA-6805943,S100A1 binds TLR4:LY96,Reaction,Immune System
R-HSA-8870678,Cleaved fibrinogen products bind TLR4:LY96,Reaction,Immune System
R-HSA-5432849,S100A8:S100A9 binds TLR4:LY96,Reaction,Immune System
R-HSA-168950,TLR6:TLR2 is recruited to ligand:CD14:CD36,Reaction,Immune System
R-HSA-2559464,TLR6/2 ligand associates with CD14 and CD36 within lipid rafts,Reaction,Immune System
R-HSA-168951,TLR1:TLR2 is recruited to ligand:CD14,Reaction,Immune System
R-HSA-2559468,TLR1/2 ligand binds to CD14,Reaction,Immune System
R-HSA-166041,Transfer of LPS onto TLR4,Reaction,Immune System
R-HSA-166038,GPI-bound CD14 binds LPS,Reaction,Immune System
R-HSA-166015,Association of LBP with LPS,Reaction,Immune System
R-HSA-169719,Secreted CD14 binds LPS,Reaction,Immune System
R-HSA-5432825,HMGB1 binds TLR4:LY96,Reaction,Immune System
R-HSA-6805981,HMGB1 release from cells,BlackBoxEvent,Immune System
R-HSA-975879,Dissociation of hp-IRAK1:TRAF6 or IRAK2:TRAF6-oligomer from the activated TLR5 or 10:oligo-Myd88:p-IRAK4 complex,Reaction,Immune System
R-HSA-975857,TRAF6 binds to hp- IRAK1 or p-IRAK2,Reaction,Immune System
R-HSA-975853,Multiple IRAK1 autophosphorylation within the complex p-IRAK4:oligo MyD88:activated TLR,Reaction,Immune System
R-HSA-975874,Second phosphorylation of IRAK1 by IRAK4 bound to MyD88:activated TLR complex,Reaction,Immune System
R-HSA-975878,First phosphorylation of IRAK1 by IRAK4 bound to MyD88:activated TLR,Reaction,Immune System
R-HSA-975852,IRAK1/or IRAK2 binds to the activated IRAK4 :oligo MyD88:activated TLR5 or 10 complex,Reaction,Immune System
R-HSA-975865,IRAK4 autophosphorylation within the complex activated TLR:MyD88,Reaction,Immune System
R-HSA-975873,IRAK4 binds to MyD88 bound to the activated TLR5 or 10 receptor,Reaction,Immune System
R-HSA-975880,MyD88 oligomerization within the complex of activated TLR:MyD88,Reaction,Immune System
R-HSA-975866,MyD88 forms a complex with the activated TLR receptor,Reaction,Immune System
R-HSA-168947,Ligand binds to TLR10,BlackBoxEvent,Immune System
R-HSA-188025,Flagellin binds to TLR5,Reaction,Immune System
R-HSA-975861,Phosphorylation of IRAK2 bound to the activated IRAK4:MyD88 oligomerl:activated TLR5 or 10 complex,Reaction,Immune System
R-HSA-936986,Activated TRAF6 synthesizes unanchored polyubiquitin chains,Polymerisation,Immune System
R-HSA-9645442,Auto phosphorylation of TAK1 within the ALPK1:ADP-heptose:p-T9-TIFA:pUb-TRAF6: free K63 pUb:TAB1:TAB2/TAB3 :MAP3K7 complex,Reaction,Immune System
R-HSA-9645406,ALPK1:ADP-heptose:p-T9-TIFA oligomer:K63pUb-TRAF6 oligomer recruits MAP3K7 (TAK1),Reaction,Immune System
R-HSA-9645394,Activated TRAF6 synthesizes unanchored polyubiquitin chains upon ALPK1:ADP-heptose stimulation ,Polymerisation,Immune System
R-HSA-9645414,Auto ubiquitination of TRAF6 bound to ALPK1:ADP-heptose:TIFA oligomer,BlackBoxEvent,Immune System
R-HSA-9645501,TRAF6 oligomerizes within the ALPK1:ADP-heptose:TIFA oligomer complex,Reaction,Immune System
R-HSA-9645520,ALPK1:ADP-heptose:TIFA oligomer recruits TRAF6,Reaction,Immune System
R-HSA-9645481,TIFA oligomerization,Reaction,Immune System
R-HSA-9645535,ALPK1 phosphorylates TIFA,Reaction,Immune System
R-HSA-9645524,ALPK1:ADP-heptose binds TIFA,Reaction,Immune System
R-HSA-9645428,ALPK1 binds ADP-heptose,Reaction,Immune System
R-HSA-847070,Phosphorylated TAK1 dissociates from the TLR3 receptor complex,Reaction,Immune System
R-HSA-177692,Activation of recruited TAK1 within the activated TLR3 complex ,Reaction,Immune System
R-HSA-177690,Activated TLR3:TRIF:K63pUb-TRAF6 recruits TAK1complex,Reaction,Immune System
R-HSA-9628444,Activated TRAF6 synthesizes unanchored polyubiquitin chains upon TLR3 stimulation ,Polymerisation,Immune System
R-HSA-450259,Auto ubiqitination of TRAF6 bound to viral dsRNS:TLR3:TICAM1 complex,BlackBoxEvent,Immune System
R-HSA-177694,Viral dsRNA:TLR3:TICAM1 complex recruits TRAF6,Reaction,Immune System
R-HSA-168929,Viral dsRNA:TLR3 recruits TRIF (TICAM1),Reaction,Immune System
R-HSA-168092,Viral dsRNA binds the Toll-Like Receptor 3 (TLR3),Reaction,Immune System
R-HSA-706479,TAK1 is activated,BlackBoxEvent,Immune System
R-HSA-688985,K63 polyubiquitinated RIP2 associates with the TAK1 complex,Reaction,Immune System
R-HSA-688137,RIP2 is K63 polyubiquitinated,Reaction,Immune System
R-HSA-168405,Activated NOD oligomer recruites RIP2 (RICK),Reaction,Immune System
R-HSA-708349,Activated NOD2 oligomerizes,Reaction,Immune System
R-HSA-168412,MDP elicits a NOD2 response,Reaction,Immune System
R-HSA-622310,Activated NOD1 oligomerizes,Reaction,Immune System
R-HSA-168400,iE-DAP elicits a NOD1 response,Reaction,Immune System
R-HSA-936951,Activation of TAK1 complex bound to activated TLR4 complex,Reaction,Immune System
R-HSA-936947,Activated TLR4:TICAM1:K63pUb-TRAF6 recruits TAK1complex,Reaction,Immune System
R-HSA-936952,Auto ubiquitination of TRAF6 bound to the activated TLR4 complex,BlackBoxEvent,Immune System
R-HSA-936985,Activated TLR4:TICAM1 recruits TRAF6,Reaction,Immune System
R-HSA-166175,TRAM:TLR4:LY96:LPS:CD14 recruits TRIF (TICAM1),Reaction,Immune System
R-HSA-5684275,IKBKB phosphorylates TPL2 (MAP3K8) at Ser400,Reaction,Immune System
R-HSA-451634,"NFKB p105, TPL2 (COT) and ABIN2 form a stable complex",Reaction,Immune System
R-HSA-5684267,IKBKB phosphorylates NFkB p105 within the NFkB p105:TPL2:ABIN2 complex,Reaction,Immune System
R-HSA-450348,Activated human JNKs migrate to nucleoplasm,Reaction,Immune System
R-HSA-168162,Phosphorylation of human JNKs by activated MKK4/MKK7,Reaction,Immune System
R-HSA-450337,Activated TAK1 phosphorylates MKK4/MKK7,Reaction,Immune System
R-HSA-2730868,Phosphorylation of MEK7 by MEKK1,Reaction,Immune System
R-HSA-2730887,Autophosphorylation and activation of MEKK1,Reaction,Immune System
R-HSA-2730856,Autophosphorylation of PAK,Reaction,Immune System
R-HSA-2730889,Recruitment of PAK to the membrane by binding active RAC1,Reaction,Immune System
R-HSA-2730840,Activation of RAC1 by VAV,Reaction,Immune System
R-HSA-2730841,Phosphorylation and activation of VAV,Reaction,Immune System
R-HSA-2730892,Recruitment of VAV to p-SLP-76,Reaction,Immune System
R-HSA-2730851,Phosphorylation of SLP-76 by p-SYK,Reaction,Immune System
R-HSA-2396561,Recruitment of GADS:SLP-76 to p-5Y-LAT,Reaction,Immune System
R-HSA-450333,Activated human MKK3/MKK6 phosphorylates p38 MAPK complexed with MAPKAPK2 or MAPKAPK3,Reaction,Immune System
R-HSA-450296,Phosphorylated MKK3/MKK6 migrates to nucleus,Reaction,Immune System
R-HSA-450346,activated human TAK1 phosphorylates MKK3/MKK6,Reaction,Immune System
R-HSA-389158,CD28 bound PI3K phosphorylates PIP2 to PIP3,Reaction,Immune System
R-HSA-388832,PI3K binds CD28,Reaction,Immune System
R-HSA-388831,Phosphorylation of CD28,Reaction,Immune System
R-HSA-388808,CD28 homodimer binds B7-2 monomer,Reaction,Immune System
R-HSA-388811,CD28 homodimer binds B7-1 homodimer,Reaction,Immune System
R-HSA-2076220,"CD19 Signalosome phosphorylates PI(4,5)P2 forming PI(3,4,5)P3",Reaction,Immune System
R-HSA-9606887,p-CD19:VAV binds PI3K and GRB2,Reaction,Immune System
R-HSA-9606883,CD19 is phosphorylated,BlackBoxEvent,Immune System
R-HSA-2045911,"BCAP Signalosome phosphorylates PI(4,5)P2 forming PI(3,4,5)P3",Reaction,Immune System
R-HSA-9606160,p-PIK3AP1 (p-BCAP) binds PIK3CD:PIK3R1 (PI3K delta),Reaction,Immune System
R-HSA-202365,PI3K bound to TRAT1 phosphorylates PIP2 to PIP3,Reaction,Immune System
R-HSA-2316429,PIP3 recruits PDPK1 to the membrane,Reaction,Immune System
R-HSA-199935,MSK1 activates CREB,Reaction,Immune System
R-HSA-198756,ERK1/2 phosphorylates MSK1,Reaction,Immune System
R-HSA-198669,p38MAPK phosphorylates MSK1,Reaction,Immune System
R-HSA-450292,Formation of Activated Protein 1 (AP-1) complex. cFOS/c-JUN heterodimer. ,Reaction,Immune System
R-HSA-450325,c-FOS activation by phospho ERK1/2,Reaction,Immune System
R-HSA-168136,Activated JNKs phosphorylate c-JUN,Reaction,Immune System
R-HSA-450222,Active p38 MAPK phosphorylates MAPKAPK2 or 3,Reaction,Immune System
R-HSA-198746,ERK1/2/5 activate RSK1/2/3,Reaction,Immune System
R-HSA-199050,ICAM1-5 bind Integrin alphaLbeta2 (LFA-1),Reaction,Immune System
R-HSA-198941,VCAM1 binds Integrin alpha4beta1,Reaction,Immune System
R-HSA-9679740,ITGA4:ITGB1 binds natalizumab,Reaction,Immune System
R-HSA-199032,MADCAM1-1 binds Integrin alpha4beta7,Reaction,Immune System
R-HSA-2730872,Activation of Calcineurin,Reaction,Immune System
R-HSA-198314,DAG stimulates protein kinase C-delta,Reaction,Immune System
R-HSA-202541,"p-S177,S181-IKKB:IKKA:pUb-NEMO phosphorylates IkB-alpha:NF-kB",Reaction,Immune System
R-HSA-202534,Ubiquitination of NEMO by TRAF6,BlackBoxEvent,Immune System
R-HSA-2730876,Phosphorylation of IKK-beta by TAK1,Reaction,Immune System
R-HSA-2730900,Activation of TAK1 complex bound to pUb-TRAF6,BlackBoxEvent,Immune System
R-HSA-2730861,Recruitment of TAK1 kinase complex to oligo-K63-pUb-TRAF6,Reaction,Immune System
R-HSA-2730904,Auto-ubiquitination of TRAF6,BlackBoxEvent,Immune System
R-HSA-2730903,Oligomerization of TRAF6,BlackBoxEvent,Immune System
R-HSA-2730864,Recruitment of TRAF6 to CBM complex by binding to MALT1,Reaction,Immune System
R-HSA-2730899,Oligomerization of BCL10 and MALT1,BlackBoxEvent,Immune System
R-HSA-2730836,Interaction of BCL10:MALT1 with CARMA1 to form CBM complex,Reaction,Immune System
R-HSA-2730902,Oligomerization of p-CARMA1,BlackBoxEvent,Immune System
R-HSA-2730863,Phosphorylation of CARMA1 by PKC-theta,Reaction,Immune System
R-HSA-2730835,Autophosphorylation of PKC-theta,Reaction,Immune System
R-HSA-2730882,Phosphorylation of PKC-theta,Reaction,Immune System
R-HSA-202328,Translocation of PKC theta to plasma membrane,Reaction,Immune System
R-HSA-2730847,Hydrolysis of PIP2 by PLCG,Reaction,Immune System
R-HSA-202164,Translocation of PDK1 to Plasma membrane,Reaction,Immune System
R-HSA-202237,"Hydrolysis of PIP3 to PI(3,4)P2",Reaction,Immune System
R-HSA-2730870,Phosphorylation of PIP2 to PIP3 by PI3K,Reaction,Immune System
R-HSA-2730842,PI3K associates with phosphorylated GAB2,Reaction,Immune System
R-HSA-2730860,Phosphorylation of GAB2 by SYK/FYN,Reaction,Immune System
R-HSA-2730848,Recruitment of GAB2 to PM and FCERI by binding to GRB2,Reaction,Immune System
R-HSA-2730837,Recruitment of GRB2:SOS to p-10Y-NTAL,Reaction,Immune System
R-HSA-2730884,Phosphorylation of NTAL by p-SYK/Lyn,Reaction,Immune System
R-HSA-2454239,Phosphorylation of SYK,Reaction,Immune System
R-HSA-2029452,Recruitment of SYK to phosphorylated ITAMs,Reaction,Immune System
R-HSA-2029459,Sequestering and phosphorylation Fc gamma receptors in the lipid rafts,BlackBoxEvent,Immune System
R-HSA-2029455,Cross-linking of FCGRIA with IgG-coated Ag,Reaction,Immune System
R-HSA-1861621,Cross-linking of FCGRIIA with IgG-coated Ag,Reaction,Immune System
R-HSA-2029457,Cross-linking of FCGRIIIA with IgG-coated Ag,Reaction,Immune System
R-HSA-2454240,Recruitment of SYK to p-FCERI gamma subunit,Reaction,Immune System
R-HSA-2454208,Phosphorylation of beta and gamma subunits by LYN,Reaction,Immune System
R-HSA-2454192,Allergen dependent IgE bound FCERI aggregation,BlackBoxEvent,Immune System
R-HSA-9725206,IgE binds FCERI,Reaction,Immune System
R-HSA-2730862,Autophosphorylation of LYN kinase,Reaction,Immune System
R-HSA-202500,Activation of IKK complex,Reaction,Immune System
R-HSA-202510,Activation of TAK1-TAB2 complex,Reaction,Immune System
R-HSA-202453,Auto-ubiquitination of TRAF6,Reaction,Immune System
R-HSA-202472,Translocation of TRAF6 to CBM complex,Reaction,Immune System
R-HSA-202478,Interaction and oligomerization of MALT1 to Bcl10,Reaction,Immune System
R-HSA-202489,Oligomerization of Bcl10,Reaction,Immune System
R-HSA-202459,Phosphorylation of Bcl10,Reaction,Immune System
R-HSA-202466,Interaction of Bcl10 to CARMA1,Reaction,Immune System
R-HSA-202443,Oligomerization of CARMA1,Reaction,Immune System
R-HSA-202437,Phosphorylation of CARMA1,Reaction,Immune System
R-HSA-202394,Translocation of CARMA1 to Plasma membrane,Reaction,Immune System
R-HSA-202222,Phosphorylation of PKC theta,Reaction,Immune System
R-HSA-202307,Change of PKC theta conformation,Reaction,Immune System
R-HSA-5607742,"K63polyUb-p-3T,1S-TAK1 phosphorylates IKK-beta",Reaction,Immune System
R-HSA-5607732,K63polyUb-TAK1 autophosphorylates,Reaction,Immune System
R-HSA-5607757,K63polyUb-TRAF6 ubiquitinates TAK1,BlackBoxEvent,Immune System
R-HSA-5607759,TRIKA2 binds K63polyUb-TRAF6 oligomer,Reaction,Immune System
R-HSA-5607756,TRAF6 oligomer autoubiquitinates,BlackBoxEvent,Immune System
R-HSA-5607751,TRAF6 oligomerizes,Polymerisation,Immune System
R-HSA-5607747,TRAF6 binds MALT1 oligomers,Reaction,Immune System
R-HSA-5607736,MALT1 oligomerizes,Polymerisation,Immune System
R-HSA-5607744,MALT1 binds BCL10,Reaction,Immune System
R-HSA-5607737,BCL10 oligomerizes,Polymerisation,Immune System
R-HSA-5607733,BCL10 binds CARD9,Reaction,Immune System
R-HSA-5607753,CARD9 oligomerizes,Polymerisation,Immune System
R-HSA-5607740,PKC-delta phosphorylates CARD9,Reaction,Immune System
R-HSA-5607746,PKC-delta is activated,Reaction,Immune System
R-HSA-5607734,PKC-delta translocates to plasma membrane,Reaction,Immune System
R-HSA-5607735,"p-Y753,Y759-PLCG2 hydrolyses PIP2",Reaction,Immune System
R-HSA-5607755,"p-Y753,Y759-PLCG2 translocates from cytosol to plasma membrane",Reaction,Immune System
R-HSA-5607745,"1,3-beta-D-glucan:p-Y15-CLEC7A:SYK phosphorylates PLCG",Reaction,Immune System
R-HSA-5607738,"SYK binds p-Y15-CLEC7A:1,3-beta-D-glucan",Reaction,Immune System
R-HSA-5607750,"SRC kinase phosphorylates CLEC7A:1,3-beta-D-glucan",Reaction,Immune System
R-HSA-5607758,"CLEC7A binds 1,3-beta-D-glucan",Reaction,Immune System
R-HSA-199959,ERKs are inactivated by protein phosphatase 2A,Reaction,Immune System
R-HSA-198731,ERK1/2 activates ELK1,Reaction,Immune System
R-HSA-199929,ERK5 activates the transcription factor MEF2,Reaction,Immune System
R-HSA-203797,ERKs are inactivated by dual-specific phosphatases (DUSPs),Reaction,Immune System
R-HSA-199895,RSK1/2/3 phosphorylates CREB at Serine 133,Reaction,Immune System
R-HSA-199910,MSK1 activates ATF1,Reaction,Immune System
R-HSA-199917,MAPKAPK2 phosphorylates CREB at Serine 133,Reaction,Immune System
R-HSA-448702,Caspase-1 active tetramer formation,Reaction,Immune System
R-HSA-448673,Formation of caspase-1 p10/p20 dimer,Reaction,Immune System
R-HSA-448678,CTSG cleaves CASP1(1-404),Reaction,Immune System
R-HSA-844617,IPAF binds procaspase-1,Reaction,Immune System
R-HSA-874084,IPAF is activated,BlackBoxEvent,Immune System
