node,name,genome-encoded,schemaClass,reference gene
R-HSA-166724,MBL:activated MASPs:mannose-based carbohydrates  [plasma membrane],False,Complex,None
R-HSA-2855080,Ficolin-3:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand [plasma membrane],False,Complex,None
R-HSA-2855064,Ficolin-2:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand [plasma membrane],False,Complex,None
R-HSA-166719,MBL2 dodecamer:MASP1 dimer:MASP2-1 dimer:Bacterial mannose surface pattern:4xCa2+ [plasma membrane],False,Complex,None
R-HSA-2855134,FCN1 ligands:FCN1 dodecamer:MASP1 dimer:MASP2-1 dimer:4xCa2+ [plasma membrane],False,Complex,None
R-HSA-2855065,FCN2 ligands:FCN2 dodecamer:MASP1 dimer:MASP2-1 dimer:4xCa2+ [plasma membrane],False,Complex,None
R-ALL-166718,Bacterial mannose surface pattern [plasma membrane],False,OtherEntity,None
R-HSA-166710,MBL2 dodecamer:MASP1 dimer:MASP2-1 dimer [extracellular region],False,Complex,None
R-ALL-2855095,N-acetylgalactosamine [plasma membrane],False,SimpleEntity,None
R-ALL-2855132,Lipoteichoic acid [plasma membrane],False,SimpleEntity,None
R-ALL-2855084,"1,3-beta-D-glucan [plasma membrane]",False,SimpleEntity,None
R-ALL-2855066,N-acetyl-D-glucosamine [plasma membrane],False,SimpleEntity,None
R-HSA-2855087,FCN2 dodecamer:MASP1 dimer:MASP2-1 dimer [extracellular region],False,Complex,None
R-HSA-8852493,CL-LK:MASP1 dimer:MASP2 dimer:Bacterial mannose surface pattern:4xCa2+ [plasma membrane],False,Complex,None
R-HSA-8852513,CL-LK:MASP1 dimer:MASP2 dimer [extracellular region],False,Complex,None
R-HSA-2855100,FCN1 dodecamer:MASP1 dimer:MASP2-1 dimer [extracellular region],False,Complex,None
R-ALL-1006168,Sialic acid [plasma membrane],False,SimpleEntity,None
R-HSA-2855122,FCN3 oligomer:MASP1 dimer:MASP2-1 dimer [extracellular region],False,Complex,None
R-ALL-2855088,D-fucose [plasma membrane],False,SimpleEntity,None
R-HSA-981643,C4A(20-675):C4A(1454-1744):S-(L-isoglutamyl)-L-cysteine-C4A(757-1446) [extracellular region],False,Complex,None
R-HSA-981722,C4B(1454-1744):C4B(20-675):S-(L-isoglutamyl)-L-cysteine-C4B(757-1446) [extracellular region],False,Complex,None
R-HSA-166732,Complement factor 4A [extracellular region],False,Complex,None
C4B,C4B-derived C4a [extracellular region],True,EntityWithAccessionedSequence,C4B
C4A,C4A-derived C4a [extracellular region],True,EntityWithAccessionedSequence,C4A
R-HSA-981727,Complement factor 4B [extracellular region],False,Complex,None
R-HSA-173619,Antigen:IgG:C1Q:2x Activated C1R:2xC1S [plasma membrane],False,Complex,None
R-HSA-173618,Antigen:IgG:C1Q:2x Activated C1R:2x Activated C1S [plasma membrane],False,Complex,None
R-HSA-173582,Antigen:IgG:C1Q:2xC1R:2xC1S [plasma membrane],False,Complex,None
R-HSA-976769,C-reactive protein pentamer:phosphocholine:C1Q [extracellular region],False,Complex,None
C5,C5a [extracellular region],True,EntityWithAccessionedSequence,C5
R-HSA-375354,C5AR1:C5a [plasma membrane],False,Complex,None
C5AR1,C5AR1 [plasma membrane],True,EntityWithAccessionedSequence,C5AR1
R-HSA-173676,C5 [extracellular region],False,Complex,None
R-HSA-173671,C5b [extracellular region],False,Complex,None
R-HSA-173635,C4b:C2a:C3b [plasma membrane],False,Complex,None
R-ALL-114519,DAG [plasma membrane],False,SimpleEntity,None
R-HSA-9606153,"Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1:p-Y223,Y551-BTK:NCK1:VAV1:PLCG2 [plasma membrane]",False,Complex,None
R-HSA-984818,BLNK (SLP-65) Signalosome [plasma membrane],False,Complex,None
R-HSA-9606149,Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1:p-Y551-BTK:NCK1:VAV1:PLCG2 [plasma membrane],False,Complex,None
R-HSA-9606167,Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1:BTK:NCK1:VAV1:PLCG2 [plasma membrane],False,Complex,None
BTK,BTK [cytosol],True,EntityWithAccessionedSequence,BTK
VAV1,VAV1 [cytosol],True,EntityWithAccessionedSequence,VAV1
R-HSA-983687,Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1 [plasma membrane],False,Complex,None
NCK1,NCK1 [cytosol],True,EntityWithAccessionedSequence,NCK1
R-HSA-983690,Antigen:p-BCR:p-SYK [plasma membrane],False,Complex,None
R-HSA-983692,BLNK:GRB2:SOS1:CIN85 [cytosol],False,Complex,None
R-HSA-983693,Antigen:p-BCR:SYK [plasma membrane],False,Complex,None
R-HSA-5690677,"PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]",False,Complex,None
SYK,SYK [cytosol],True,EntityWithAccessionedSequence,SYK
R-HSA-983691,Antigen:p-BCR [plasma membrane],False,Complex,None
R-HSA-983689,Antigen:BCR [plasma membrane],False,Complex,None
R-ALL-983667,Antigen [extracellular region],False,OtherEntity,None
R-HSA-983677,BCR [plasma membrane],False,Complex,None
TRPC1,TRPC1 [plasma membrane],True,EntityWithAccessionedSequence,TRPC1
R-HSA-2089954,STIM1:TRPC1 [plasma membrane],False,Complex,None
R-HSA-2424468,p-5Y-LAT:p-SHC1:GRB2:SOS1 [plasma membrane],False,Complex,None
R-HSA-2685672,p-SHC1:GRB2:SOS [cytosol],False,Complex,None
R-HSA-109797,GRB2-1:SOS1 [cytosol],False,Complex,None
SHC1,"p-Y239,Y240,Y317-SHC1-2 [cytosol]",True,EntityWithAccessionedSequence,SHC1
R-HSA-210250,DAP12 receptors:p-DAP12:SYK [plasma membrane],False,Complex,None
R-HSA-2395411,DAP12 Receptors:p-DAP12:p-6Y-SYK [plasma membrane],False,Complex,None
R-HSA-2395423,"DAP12 receptors:p-Y91,Y102-DAP12 dimer [plasma membrane]",False,Complex,None
LCK,LCK [cytosol],True,EntityWithAccessionedSequence,LCK
FYN,FYN [cytosol],True,EntityWithAccessionedSequence,FYN
R-HSA-2395430,DAP12 receptors:DAP12 dimer [plasma membrane],False,Complex,None
R-HSA-210233,NKG2D dimer [plasma membrane],False,Complex,None
R-HSA-210232,DAP12:NKG2D [plasma membrane],False,Complex,None
R-HSA-548940,DAP12 dimer [plasma membrane],False,Complex,None
TYROBP,TYROBP [plasma membrane],True,EntityWithAccessionedSequence,TYROBP
R-HSA-2326822,HLA-E:CD94:NKG2C:DAP12 [plasma membrane],False,Complex,None
R-HSA-2326867,CD94:NKG2C:HLA-E [plasma membrane],False,Complex,None
R-HSA-210245,DAP12 dimer:TREM2 [plasma membrane],False,Complex,None
TREM2,TREM2 [plasma membrane],True,EntityWithAccessionedSequence,TREM2
R-HSA-1168369,"p-RASGRP1,3:DAG [plasma membrane]",False,Complex,None
RASGRP3,RASGRP3 [cytosol],True,EntityWithAccessionedSequence,RASGRP3
RASGRP1,RASGRP1 [cytosol],True,EntityWithAccessionedSequence,RASGRP1
R-HSA-453099,"IL2:IL2R trimer p-(Y338,392,510)-beta subunit:p-JAK1:JAK3:p-SHC [plasma membrane]",False,Complex,None
R-HSA-921157,Interleukin receptor complexes with activated SHC1:GRB2:SOS1 [plasma membrane],False,Complex,None
R-HSA-913366,"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1 [plasma membrane]",False,Complex,None
R-HSA-913428,"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1 [plasma membrane]",False,Complex,None
R-HSA-913412,"IL3:IL3R active complex, inactive JAK2, phosphorylated Bc:p(Y427,349,350)-SHC1 [plasma membrane]",False,Complex,None
R-HSA-452095,"IL2:IL2R trimer p-(Y338,392,510)-beta subunit:p-JAK1:JAK3:SHC [plasma membrane]",False,Complex,None
R-HSA-452119,"IL2:IL2R trimer p-(Y338,392,510) beta subunit:p-JAK1:JAK3 [plasma membrane]",False,Complex,None
R-HSA-451920,IL2:IL2R trimer:p-JAK1:JAK3 [plasma membrane],False,Complex,None
R-HSA-450080,IL2:IL2R trimer:JAK1:JAK3 [plasma membrane],False,Complex,None
R-HSA-450065,IL2:IL2RA:IL2RB:JAK1 [plasma membrane],False,Complex,None
R-HSA-451911,IL2RG:JAK3 [plasma membrane],False,Complex,None
IL2RG,IL2RG [plasma membrane],True,EntityWithAccessionedSequence,IL2RG
JAK3,JAK3 [cytosol],True,EntityWithAccessionedSequence,JAK3
R-HSA-538993,IL2:IL2RA [plasma membrane],False,Complex,None
R-HSA-451905,IL2RB:JAK1 [plasma membrane],False,Complex,None
IL2,IL2 [extracellular region],True,EntityWithAccessionedSequence,IL2
IL2RA,IL2RA [plasma membrane],True,EntityWithAccessionedSequence,IL2RA
JAK1,JAK1 [cytosol],True,EntityWithAccessionedSequence,JAK1
IL2RB,IL2RB [plasma membrane],True,EntityWithAccessionedSequence,IL2RB
R-HSA-913387,"High affinity IL-5 receptor complex dimer, inactive JAK2, phosphorylated Bc:SHC1 [plasma membrane]",False,Complex,None
R-HSA-913433,"High affinity GM-CSF receptor complex dimer, inactive JAK2, phosphorylated Bc:SHC1 [plasma membrane]",False,Complex,None
R-HSA-913358,"IL3:IL3R active complex, inactive JAK2, phosphorylated Bc:SHC1 [plasma membrane]",False,Complex,None
R-HSA-913384,"High affinity GM-CSF receptor complex dimer, inactive JAK2, p(Y593, 628)- Bc [plasma membrane]",False,Complex,None
R-HSA-913359,"High affinity IL-5 receptor complex dimer, inactive JAK2, p(Y593, 628)-Bc [plasma membrane]",False,Complex,None
R-HSA-912317,"IL3:IL3R active complex, JAK2:p-Y593,Y629-IL3RB [plasma membrane]",False,Complex,None
R-HSA-913415,"High affinity IL-5 receptor complex dimer, inactive JAK2 [plasma membrane]",False,Complex,None
R-HSA-913413,"High affinity GM-CSF receptor complex dimer, inactive JAK2 [plasma membrane]",False,Complex,None
R-HSA-893545,"High affinity IL-3 receptor complex dimer, inactive JAK2 [plasma membrane]",False,Complex,None
R-HSA-913362,GM-CSF:GM-CSF receptor alpha subunit [plasma membrane],False,Complex,None
R-HSA-913389,GM-CSF:GM-CSF receptor alpha subunit:Common beta chain:JAK2 [plasma membrane],False,Complex,None
R-HSA-879945,IL3RB:JAK2 [plasma membrane],False,Complex,None
JAK2,JAK2 [cytosol],True,EntityWithAccessionedSequence,JAK2
CSF2RB,CSF2RB [plasma membrane],True,EntityWithAccessionedSequence,CSF2RB
CSF2,CSF2 [extracellular region],True,EntityWithAccessionedSequence,CSF2
CSF2RA,CSF2RA [plasma membrane],True,EntityWithAccessionedSequence,CSF2RA
R-HSA-450056,IL5 homodimer:IL5RA [plasma membrane],False,Complex,None
R-HSA-913423,IL5 homodimer:IL5RA:Common beta chain:JAK2 [plasma membrane],False,Complex,None
IL5RA,IL5RA [plasma membrane],True,EntityWithAccessionedSequence,IL5RA
R-HSA-913383,IL5 homodimer [extracellular region],False,Complex,None
IL5,IL5 [extracellular region],True,EntityWithAccessionedSequence,IL5
R-HSA-450048,IL3:IL3RA [plasma membrane],False,Complex,None
R-HSA-450064,IL3:IL3RA:IL3RB:JAK2 [plasma membrane],False,Complex,None
IL3RA,IL3RA [plasma membrane],True,EntityWithAccessionedSequence,IL3RA
IL3,IL3 [extracellular region],True,EntityWithAccessionedSequence,IL3
R-ALL-29438,GTP [cytosol],False,SimpleEntity,None
R-ALL-29420,GDP [cytosol],False,SimpleEntity,None
R-HSA-109783,p21 RAS:GTP [plasma membrane],False,Complex,None
R-HSA-109796,p21 RAS:GDP [plasma membrane],False,Complex,None
SOS1,SOS1 [cytosol],True,EntityWithAccessionedSequence,SOS1
R-HSA-9607300,Active FLT3:GRB2:SOS1 [plasma membrane],False,Complex,None
R-HSA-9604756,Active FLT3: GRB2 [plasma membrane],False,Complex,None
GRB2,GRB2-1 [cytosol],True,EntityWithAccessionedSequence,GRB2
R-HSA-9604751,Active FLT3 [plasma membrane],False,Complex,None
R-HSA-8854716,FLT3LG dimer:FLT3 dimer [plasma membrane],False,Complex,None
R-HSA-6786754,FLT3LG dimer:FLT3 [plasma membrane],False,Complex,None
FLT3,FLT3 [plasma membrane],True,EntityWithAccessionedSequence,FLT3
R-HSA-8854740,FLT3LG dimer [extracellular region],False,Complex,None
MAP2K1,"p-S218,S222-MAP2K1 [cytosol]",True,EntityWithAccessionedSequence,MAP2K1
MAP2K4,"p-S257,T261-MAP2K4 [cytosol]",True,EntityWithAccessionedSequence,MAP2K4
R-HSA-5684242,"3xUb, 2xp-S-NFKB1(1-968):p-S,T-MAP3K8:TNIP2 [cytosol]",False,Complex,None
TNIP2,TNIP2 [cytosol],True,EntityWithAccessionedSequence,TNIP2
UBB,UBB(1-76) [cytosol],True,EntityWithAccessionedSequence,UBB
UBC,UBC(533-608) [cytosol],True,EntityWithAccessionedSequence,UBC
RPS27A,RPS27A(1-76) [cytosol],True,EntityWithAccessionedSequence,RPS27A
UBA52,UBA52(1-76) [cytosol],True,EntityWithAccessionedSequence,UBA52
MAP3K8,"p-S400,T290-MAP3K8 [cytosol]",True,EntityWithAccessionedSequence,MAP3K8
R-HSA-174155,BTRC:CUL1:SKP1 [cytosol],False,Complex,None
R-HSA-1168592,CUL1:FBXW11:SKP1 [cytosol],False,Complex,None
R-HSA-5684270,"SCF-beta-TrCP1,2:p-S927,S932-NFKB1:p-S,T-MAP3K8:TNIP2 [cytosol]",False,Complex,None
R-HSA-5684268,"p-S927,S932-NFKB1(1-968):p-S,T-MAP3K8:TNIP2 [cytosol]",False,Complex,None
R-HSA-5684265,NFKB1:p-T290-MAP3K8:TNIP2 [cytosol],False,Complex,None
R-HSA-451638,NFKB1:MAP3K8:TNIP2 [cytosol],False,Complex,None
R-HSA-177663,"IKBKG:p-S176,S180-CHUK:p-S177,S181-IKBKB [cytosol]",False,Complex,None
R-HSA-168113,CHUK:IKBKB:IKBKG [cytosol],False,Complex,None
R-HSA-937008,p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex [plasma membrane],False,Complex,None
R-HSA-936953,p-IRAK2:K63-linked pUb oligo-TRAF6:free K63 pUb:TAK1 complex [plasma membrane],False,Complex,None
R-HSA-450152,K63polyUb [cytosol],False,Polymer,None
R-HSA-446878,TAK1 complex [cytosol],False,Complex,None
R-HSA-936988,p-IRAK2:K63-linked pUb oligo-TRAF6 [plasma membrane],False,Complex,None
R-HSA-936990,p-IRAK2:oligo-TRAF6 [plasma membrane],False,Complex,None
R-HSA-936961,TRAF6:p-IRAK2 [plasma membrane],False,Complex,None
TRAF6,TRAF6 [cytosol],True,EntityWithAccessionedSequence,TRAF6
R-HSA-937053,TRAF6:hp-IRAK1:p-IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane],False,Complex,None
R-HSA-937048,"p-S,2T-IRAK4:oligo-MyD88:TIRAP:activated TLR receptor [plasma membrane]",False,Complex,None
R-HSA-937036,TRAF6:hp-IRAK1 [plasma membrane],False,Complex,None
IRAK3,IRAK3 [cytosol],True,EntityWithAccessionedSequence,IRAK3
R-HSA-166360,"p-3S,3T-IRAK1:p-S,2T-IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane]",False,Complex,None
R-HSA-166281,pp-IRAK1:p-IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane],False,Complex,None
R-HSA-166118,p-IRAK1:p-IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane],False,Complex,None
R-HSA-937018,"IRAK1:p-S,2T-IRAK4 :oligo-MyD88:TIRAP:activated TLR [plasma membrane]",False,Complex,None
R-HSA-166100,IRAK1/or IRAK2:p-IRAK4:MyD88 oligomer:TIRAP:activated TLR [plasma membrane],False,Complex,None
IRAK2,IRAK2 [cytosol],True,EntityWithAccessionedSequence,IRAK2
IRAK1,IRAK1 [cytosol],True,EntityWithAccessionedSequence,IRAK1
R-HSA-166080,IRAK4:oligo-MyD88:TIRAP:activated TLR [plasma membrane],False,Complex,None
R-HSA-937033,oligo-MyD88:TIRAP:BTK:activated TLR [plasma membrane],False,Complex,None
IRAK4,IRAK4 [cytosol],True,EntityWithAccessionedSequence,IRAK4
R-HSA-166062,MyD88:TIRAP:BTK:activated TLR2/4 [plasma membrane],False,Complex,None
MYD88,MYD88 [cytosol],True,EntityWithAccessionedSequence,MYD88
R-HSA-2201325,"activated TLR2/4:p-4Y-TIRAP:PI(4,5)P2:BTK [plasma membrane]",False,Complex,None
SOCS1,SOCS1 [cytosol],True,EntityWithAccessionedSequence,SOCS1
SIGIRR,SIGIRR [plasma membrane],True,EntityWithAccessionedSequence,SIGIRR
R-HSA-2201331,"TIRAP:PI(4,5)P2:BTK:activated TLR2/4 [plasma membrane]",False,Complex,None
R-HSA-2559411,"TIRAP:PI(4,5)P2:activated TLR2/4 [plasma membrane]",False,Complex,None
R-HSA-181226,TLR1:TLR2:TLR1/2 ligand:CD14 [plasma membrane],False,Complex,None
R-HSA-6805997,S100A1:TLR4:LY96 [plasma membrane],False,Complex,None
R-HSA-5432869,"HC23,45-HMGB1:TLR4:LY96 [plasma membrane]",False,Complex,None
R-HSA-5432865,TLR4:LY96:S100A8:S100A9 [plasma membrane],False,Complex,None
R-HSA-8870679,TLR4:LY96:cleaved fibrinogen [plasma membrane],False,Complex,None
R-HSA-166850,TLR4:LY96:LPS:CD14 [plasma membrane],False,Complex,None
R-HSA-181410,TLR6:TLR2:ligand:CD14:CD36 [plasma membrane],False,Complex,None
R-HSA-2559415,"TIRAP:PI(4,5)P2 [plasma membrane]",False,Complex,None
R-HSA-6805958,S100A1 dimer:Ca(2+) [extracellular region],False,Complex,None
R-HSA-166050,TLR4:LY96 [plasma membrane],False,Complex,None
FGB,FGB(31-44) [extracellular region],True,EntityWithAccessionedSequence,FGB
FGG,FGG [extracellular region],True,EntityWithAccessionedSequence,FGG
FGA,FGA(20-35) [extracellular region],True,EntityWithAccessionedSequence,FGA
R-HSA-5432834,S100A8:S100A9 [extracellular region],False,Complex,None
R-HSA-168949,TLR6:TLR2 [plasma membrane],False,Complex,None
R-HSA-2559461,TLR6/2 ligand:CD14:CD36 [plasma membrane],False,Complex,None
CD36,4xPalmC-CD36 [plasma membrane],True,EntityWithAccessionedSequence,CD36
CD14,GPIN-CD14(20-345) [plasma membrane],True,EntityWithAccessionedSequence,CD14
R-ALL-181161,Clostridial peptidoglycan [extracellular region],False,SimpleEntity,None
R-ALL-181403,Diacyl lipopeptide [extracellular region],False,SimpleEntity,None
R-ALL-181015,Lipoteichoic acid [extracellular region],False,SimpleEntity,None
mip,mip [extracellular region],False,EntityWithAccessionedSequence,None
R-HSA-2559462,TLR1:TLR2 ligand:CD14 [plasma membrane],False,Complex,None
R-HSA-168946,TLR1:TLR2 [plasma membrane],False,Complex,None
R-ALL-180811,Triacyl lipopeptide [extracellular region],False,SimpleEntity,None
R-NME-180817,PorB Homotrimer [extracellular region],False,Complex,None
R-HSA-166026,LPS:secreted CD14 [extracellular region],False,Complex,None
R-HSA-166034,LPS:GPI-anchored CD14 [plasma membrane],False,Complex,None
R-HSA-166154,RP105:MD1 [plasma membrane],False,Complex,None
R-HSA-166013,LBP:bacterial LPS [extracellular region],False,Complex,None
LBP,LBP [extracellular region],True,EntityWithAccessionedSequence,LBP
R-ALL-166005,LPS [extracellular region],False,SimpleEntity,None
BPI,BPI [extracellular region],True,EntityWithAccessionedSequence,BPI
HMGB1,"HC23,45-HMGB1 [extracellular region]",True,EntityWithAccessionedSequence,HMGB1
R-HSA-975869,TRAF6:hp-IRAK1/or p-IRAK2:p-IRAK4:oligo-MyD88 :activated TLR5 or 10 [plasma membrane],False,Complex,None
R-HSA-975870,"p-S,2T-IRAK4:oligo-MyD88:activated TLR5 or 10 [plasma membrane]",False,Complex,None
R-HSA-975881,hp-IRAK1 or p-IRAK2 : pIRAK4:MyD88:activated TLR5/10 [plasma membrane],False,Complex,None
R-HSA-975877,hp-IRAK1:activated IRAK4:MyD88oligomer:activated TLR5 or 10 [plasma membrane],False,Complex,None
