input,output,reaction,name,schemaClass,module
R-ALL-179856,R-HSA-202269,R-HSA-202354,Translocation of PLC-gamma1 to PIP2,Reaction,Immune System
R-HSA-202279,R-ALL-29370,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202279,R-HSA-202302,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202279,R-HSA-202310,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202240,R-ALL-29370,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202240,R-HSA-202302,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202240,R-HSA-202310,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-ALL-113592,R-HSA-202302,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-ALL-113592,R-HSA-202310,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
CD101,R-ALL-29370,R-HSA-8866027,Negative regulation by 'CD101 [plasma membrane]',NegativeRegulation,Immune System
CD101,R-HSA-202302,R-HSA-8866027,Negative regulation by 'CD101 [plasma membrane]',NegativeRegulation,Immune System
CD101,R-HSA-202310,R-HSA-8866027,Negative regulation by 'CD101 [plasma membrane]',NegativeRegulation,Immune System
ITK,R-HSA-202359,R-HSA-202375,Recruitment of ITK to SLP-76,Reaction,Immune System
R-HSA-202162,R-HSA-202359,R-HSA-202375,Recruitment of ITK to SLP-76,Reaction,Immune System
R-ALL-113592,R-HSA-202162,R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202151,R-ALL-29370,R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202151,R-HSA-202162,R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202177,R-HSA-202151,R-HSA-202241,Recruitment of SLP-76 to Gads,Reaction,Immune System
LCP2,R-HSA-202151,R-HSA-202241,Recruitment of SLP-76 to Gads,Reaction,Immune System
LAT,R-HSA-202177,R-HSA-202325,Recruitment of Gads to LAT,Reaction,Immune System
GRAP2,R-HSA-202177,R-HSA-202325,Recruitment of Gads to LAT,Reaction,Immune System
R-ALL-113592,LAT,R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
LAT,LAT,R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
LAT,R-ALL-29370,R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
R-HSA-202345,R-ALL-29370,R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-HSA-202345,R-HSA-202181,R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-ALL-113592,R-HSA-202181,R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-ALL-113592,R-HSA-202345,R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
R-HSA-202330,R-ALL-29370,R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
R-HSA-202330,R-HSA-202345,R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
ZAP70,R-HSA-202330,R-HSA-202344,Recruitment of ZAP-70 to phosphorylated ITAMs,Reaction,Immune System
R-HSA-203494,R-HSA-202330,R-HSA-202344,Recruitment of ZAP-70 to phosphorylated ITAMs,Reaction,Immune System
R-HSA-202266,R-ALL-29370,R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
R-HSA-202266,R-HSA-203494,R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
R-ALL-113592,R-HSA-203494,R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
R-HSA-202157,R-ALL-29370,R-HSA-202291,Activation of Lck,Reaction,Immune System
R-HSA-202157,R-HSA-202266,R-HSA-202291,Activation of Lck,Reaction,Immune System
R-ALL-113592,R-HSA-202266,R-HSA-202291,Activation of Lck,Reaction,Immune System
R-ALL-29356,R-HSA-202157,R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202154,R-HSA-202157,R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202154,R-ALL-29372,R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202157,R-HSA-202154,R-HSA-202233,Inactivation of Lck by Csk,Reaction,Immune System
R-ALL-113592,R-HSA-202154,R-HSA-202233,Inactivation of Lck by Csk,Reaction,Immune System
PAG1,R-HSA-202297,R-HSA-203774,Interaction of Csk with PAG,Reaction,Immune System
CSK,R-HSA-202297,R-HSA-203774,Interaction of Csk with PAG,Reaction,Immune System
LAT,R-HSA-202240,R-HSA-202212,Recruitment of PLC-gamma1 to LAT,Reaction,Immune System
PLCG1,R-HSA-202240,R-HSA-202212,Recruitment of PLC-gamma1 to LAT,Reaction,Immune System
PLCG1,R-HSA-202279,R-HSA-202331,Recruitment of PLC-gamma1 to SLP-76,Reaction,Immune System
R-HSA-202162,R-HSA-202279,R-HSA-202331,Recruitment of PLC-gamma1 to SLP-76,Reaction,Immune System
R-HSA-202302,PLCG1,R-HSA-213407,Disassociation of PLC-gamma1 from SLP-76,Reaction,Immune System
R-HSA-202302,R-HSA-202162,R-HSA-213407,Disassociation of PLC-gamma1 from SLP-76,Reaction,Immune System
R-HSA-202310,LAT,R-HSA-213406,Disassociation of PLC-gamma1 from LAT,Reaction,Immune System
R-HSA-202310,PLCG1,R-HSA-213406,Disassociation of PLC-gamma1 from LAT,Reaction,Immune System
TRAT1,R-HSA-202283,R-HSA-202203,Recruitment of PI3K to plasma membrane,Reaction,Immune System
R-HSA-74693,R-HSA-202283,R-HSA-202203,Recruitment of PI3K to plasma membrane,Reaction,Immune System
R-HSA-198379,R-HSA-388785,R-HSA-388830,PI3K binds ICOS,Reaction,Immune System
ICOS,R-HSA-388785,R-HSA-388830,PI3K binds ICOS,Reaction,Immune System
R-HSA-388788,R-HSA-388785,R-HSA-9031652,Positive regulation by 'ICOS:ICOSL [plasma membrane]',PositiveRegulation,Immune System
C3,R-HSA-444688,R-HSA-444647,C3a receptor binds anaphylatoxin C3a,Reaction,Immune System
C3AR1,R-HSA-444688,R-HSA-444647,C3a receptor binds anaphylatoxin C3a,Reaction,Immune System
R-HSA-166822,C3,R-HSA-166817,Cleavage of C3 by C3 convertases,Reaction,Immune System
R-HSA-166822,R-HSA-166832,R-HSA-166817,Cleavage of C3 by C3 convertases,Reaction,Immune System
R-HSA-173752,C3,R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-173752,R-HSA-174554,R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-166822,R-HSA-174554,R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-173749,R-HSA-173752,R-HSA-173754,Properdin stabilizes C3b:Bb bound to cell surfaces,Reaction,Immune System
R-HSA-182548,R-HSA-173752,R-HSA-173754,Properdin stabilizes C3b:Bb bound to cell surfaces,Reaction,Immune System
R-HSA-173737,R-HSA-173749,R-HSA-183122,Factor D cleaves C3b-bound Factor B,Reaction,Immune System
R-HSA-173737,CFB,R-HSA-183122,Factor D cleaves C3b-bound Factor B,Reaction,Immune System
R-HSA-981542,R-HSA-173737,R-HSA-183126,Factor B binds to surface-associated C3b,Reaction,Immune System
CFB,R-HSA-173737,R-HSA-183126,Factor B binds to surface-associated C3b,Reaction,Immune System
R-HSA-166832,R-HSA-981542,R-HSA-981539,C3b binds to cell surface,Reaction,Immune System
R-ALL-983438,R-HSA-981542,R-HSA-981539,C3b binds to cell surface,Reaction,Immune System
R-HSA-182529,CFB,R-HSA-173745,Factor D cleaves C3(H2O)-bound Factor B,Reaction,Immune System
R-HSA-182529,R-HSA-182451,R-HSA-173745,Factor D cleaves C3(H2O)-bound Factor B,Reaction,Immune System
CFB,R-HSA-182529,R-HSA-173740,Factor B binds to C3(H2O),Reaction,Immune System
R-HSA-182450,R-HSA-182529,R-HSA-173740,Factor B binds to C3(H2O),Reaction,Immune System
R-ALL-109276,R-HSA-182450,R-HSA-173739,Spontaneous hydrolysis of C3 thioester,Reaction,Immune System
R-HSA-166822,R-HSA-182450,R-HSA-173739,Spontaneous hydrolysis of C3 thioester,Reaction,Immune System
C2,R-HSA-166784,R-HSA-166795,Formation of Classical C3 convertase (C4b:C2a complex),Reaction,Immune System
R-HSA-981716,R-HSA-166784,R-HSA-166795,Formation of Classical C3 convertase (C4b:C2a complex),Reaction,Immune System
C2,C2,R-HSA-166792,Conversion of C2 into C2a and C2b,Reaction,Immune System
R-HSA-2855093,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855093,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855093,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855093,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-ALL-166718,R-HSA-166719,R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-HSA-166710,R-HSA-166719,R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-ALL-74112,R-HSA-166719,R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-ALL-2855095,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855132,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855084,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855066,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-HSA-2855087,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-74112,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-166718,R-HSA-8852493,R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-HSA-8852513,R-HSA-8852493,R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-ALL-74112,R-HSA-8852493,R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-HSA-2855100,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-2855095,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-1006168,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-2855066,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-74112,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-HSA-2855122,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855088,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855066,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-74112,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-HSA-981643,R-HSA-981716,R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-HSA-981722,R-HSA-981716,R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-ALL-983438,R-HSA-981716,R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-HSA-166732,R-HSA-981643,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-166732,R-HSA-981722,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-166732,C4B,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-166732,C4A,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,R-HSA-981643,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,R-HSA-981722,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,C4B,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,C4A,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-173619,R-HSA-173618,R-HSA-173631,Activation of C1s,Reaction,Immune System
R-HSA-173582,R-HSA-173619,R-HSA-173626,Activation of C1r,Reaction,Immune System
R-HSA-976769,R-HSA-173619,R-HSA-977428,Positive regulation by 'C-reactive protein pentamer:phosphocholine:C1Q [extracellular region]',PositiveRegulation,Immune System
C5,R-HSA-375354,R-HSA-375395,C5a receptor binds C5a anaphylatoxin,Reaction,Immune System
C5AR1,R-HSA-375354,R-HSA-375395,C5a receptor binds C5a anaphylatoxin,Reaction,Immune System
R-HSA-173676,C5,R-HSA-173680,Activation of C5,Reaction,Immune System
R-HSA-173676,R-HSA-173671,R-HSA-173680,Activation of C5,Reaction,Immune System
R-HSA-981542,R-HSA-173635,R-HSA-173636,Formation of classic pathway C5 convertase,Reaction,Immune System
R-HSA-166784,R-HSA-173635,R-HSA-173636,Formation of classic pathway C5 convertase,Reaction,Immune System
R-ALL-179856,R-ALL-114519,R-HSA-1112666,"BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate",Reaction,Immune System
R-HSA-9606153,R-HSA-984818,R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-HSA-9606153,R-ALL-29370,R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-ALL-113592,R-HSA-984818,R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-ALL-113592,R-HSA-9606153,R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-HSA-9606149,R-HSA-9606153,R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-HSA-9606149,R-ALL-29370,R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-ALL-113592,R-HSA-9606149,R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
R-HSA-9606167,R-ALL-29370,R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
R-HSA-9606167,R-HSA-9606149,R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
BTK,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-ALL-179838,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
PLCG2,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
VAV1,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-HSA-983687,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
NCK1,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-ALL-113592,R-HSA-983687,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983690,R-ALL-29370,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983690,R-HSA-983687,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983692,R-ALL-29370,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983692,R-HSA-983687,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-ALL-113592,R-HSA-983690,R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-983693,R-ALL-29370,R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-983693,R-HSA-983690,R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-5690677,R-ALL-29370,R-HSA-5690723,"Negative regulation by 'PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]'",NegativeRegulation,Immune System
R-HSA-5690677,R-HSA-983690,R-HSA-5690723,"Negative regulation by 'PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]'",NegativeRegulation,Immune System
SYK,R-HSA-983693,R-HSA-983700,SYK binds the activated BCR,Reaction,Immune System
R-HSA-983691,R-HSA-983693,R-HSA-983700,SYK binds the activated BCR,Reaction,Immune System
R-ALL-113592,R-HSA-983691,R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-983689,R-ALL-29370,R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-983689,R-HSA-983691,R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-5690677,R-HSA-983691,R-HSA-5690718,"Negative regulation by 'PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]'",NegativeRegulation,Immune System
R-ALL-983667,R-HSA-983689,R-HSA-983696,The Immunoglobulin of the BCR binds antigen,Reaction,Immune System
R-HSA-983677,R-HSA-983689,R-HSA-983696,The Immunoglobulin of the BCR binds antigen,Reaction,Immune System
TRPC1,R-HSA-2089954,R-HSA-2089927,STIM1 binds TRPC1 forming STIM1:TRPC1 complex,Reaction,Immune System
R-HSA-1168370,R-HSA-2089954,R-HSA-2089927,STIM1 binds TRPC1 forming STIM1:TRPC1 complex,Reaction,Immune System
